,지역,시군구,제목,모집기관,봉사기간
4,경상북도,청송군,[효곡동]우리마을 깨끗한 거리 만들기 참여자 모집,경상북도 포항시,2019-09-07 ~ 2019-09-07
5,경상북도,청송군,"소화기, 소화전, 심폐소생술, 완강기 및 소방안전교육 등",칠곡소방서,2019-09-09 ~ 2019-09-09
6,경상북도,청송군,9월 7일 자원봉사 기초교육+지진대비 행동요령 교육 참여자 모집,경상북도 포항시,2019-09-07 ~ 2019-09-07
7,경상북도,청송군,작은도서관 도서정리 및 망정동거리 환경정리,무지개작은영어도서관,2019-07-02 ~ 2019-09-07
8,경상북도,청송군,영어 동화책 읽어주기,경상북도 영천시,2019-07-02 ~ 2019-09-07
9,경상북도,청송군,상주박물관 어린이 체험실 자원봉사자 모집,상주시종합자원봉사센터,2019-06-22 ~ 2019-09-15
0,경상북도,청송군,상주박물관 어린이 체험실 자원봉사자 모집,상주시종합자원봉사센터,2019-06-22 ~ 2019-09-15
1,경상북도,청송군,지역아동센터 아동학습지도 및 돌봄지원 등,행복나무지역아동센터,2019-06-10 ~ 2019-09-10
2,경상북도,청송군,추석 명절 문화행사 진행 보조모집,국립경주박물관,2019-09-14 ~ 2019-09-14
3,경상북도,청송군,경주문화엑스포 및 솔거미술관 환경미화 및 운영보조,경주세계문화엑스포,2019-07-01 ~ 2019-09-15
4,경상북도,청송군,구미 YMCA에서 봉사자를 구합니다.,구미ymca,2019-08-16 ~ 2019-09-16
5,경상북도,청송군,제7회 경산 대학인 컬러풀 런 행사지원 및 안전활동,경산시청,2019-09-21 ~ 2019-09-21
6,경상북도,청송군,9월 자원봉사 V-DAY 자원봉사 모집,상주시종합자원봉사센터,2019-09-21 ~ 2019-09-21
7,경상북도,청송군,마루실버타운에서 정기적으로 '미용봉사' 해주실분 찾습니다^_^,마루실버타운,2019-07-22 ~ 2019-09-21
8,경상북도,청송군,마루실버타운에서 여러가지 활동 봉사자 찾습니다 ^_^,마루실버타운,2019-07-22 ~ 2019-09-20
9,경상북도,청송군,청춘두드림 한마당 행사 참여 어르신 활동보조,강동재가노인지원서비스센터,2019-09-20 ~ 2019-09-20
0,경상북도,청송군,왜관 효마실재가노인주야간보호전문센터에서 주거환경개선 자원봉사자를 모집합니다.,효마실재가노인주야간보호전문센터,2019-06-18 ~ 2019-09-18
1,경상북도,청송군,왜관 효마실재가노인주야간보호전문센터에서 활동보조 자원봉사자를 모집합니다.,효마실재가노인주야간보호전문센터,2019-06-18 ~ 2019-09-18
2,경상북도,청송군,어르신 책읽어드리기,꿈미작은도서관,2019-06-20 ~ 2019-09-19
3,경상북도,청송군,국립경주박물관 - 2019년 자원봉사자 모집 3분기,국립경주박물관,2019-07-01 ~ 2019-09-30
4,경상북도,청송군,국립경주박물관 - 2019년 자원봉사자 모집 3분기,국립경주박물관,2019-07-01 ~ 2019-09-30
5,경상북도,청송군,사물놀이 공연 봉사팀을 모집합니다^-^,원광보은의집,2019-07-24 ~ 2019-09-23
6,경상북도,청송군,"노인주간보호센터, 무료경로식당",신라노인주간보호센터,2019-07-01 ~ 2019-09-30
7,경상북도,청송군,영화로 세상을 아름답게 제6회 유니카코리아 영화제 행사 분야별 모집,경상북도 경산시,2019-09-20 ~ 2019-09-29
8,경상북도,청송군,[홍보]2019 미술관 문화가 있는 날 참여 안내,경상북도 구미시,2019-08-23 ~ 2019-09-27
9,경상북도,청송군,[아름다운가게 구미인동점] 자원봉사자 모집  **사전 매장연락 필수**,아름다운가게,2019-07-02 ~ 2019-09-28
0,경상북도,청송군,공연활동,오경실버랜드노인복지센터,2019-06-29 ~ 2019-09-28
1,경상북도,청송군,불국동 관내 공공시설 및 거리 환경정비,불국동행정복지센터,2019-07-29 ~ 2019-09-28
2,경상북도,청송군,근로장애인 신발 생산 보조 및 주방업무 보조,영주시종합자원봉사센터,2019-07-01 ~ 2019-09-30
3,경상북도,청송군,어르신돌봄,노인요양공동생활가정 로뎀나무실버타운,2019-07-01 ~ 2019-09-30
4,경상북도,청송군,독거노인 밑반찬지원,구미사랑고리은행,2019-07-01 ~ 2019-09-30
5,경상북도,청송군,어르신 활동보조,구미한겸복지센터,2019-07-01 ~ 2019-09-30
6,경상북도,청송군,자원봉사활동,죽변도서관,2019-07-01 ~ 2019-09-30
7,경상북도,청송군,주거환경개선,솔빛기로소,2019-07-05 ~ 2019-10-04
8,경상북도,청송군,상주시장애인종합복지관 밑반찬 전달 자원봉사자 모집,상주시종합자원봉사센터,2019-07-01 ~ 2019-09-30
9,경상북도,청송군,상주시장애인종합복지관 이동목욕 자원봉사자 모집,상주시종합자원봉사센터,2019-07-01 ~ 2019-09-30
0,경상북도,청송군,영천석미노인요양원 자원봉사자 모집합니다.,영천석미노인요양원,2019-07-01 ~ 2019-09-30
1,경상북도,청송군,자원봉사자 개인 및 단체 상시 모집,경상북도시각장애인복지관,2019-07-01 ~ 2019-09-30
2,경상북도,청송군,이미용활동,오경실버랜드노인복지센터,2019-07-01 ~ 2019-09-30
3,경상북도,청송군,주간보호 어르신 도움 및 각종 재능기부 기다립니다,정담은복지센터,2019-07-08 ~ 2019-09-30
4,경상북도,청송군,공연활동,노인요양시설 보은다사랑,2019-07-01 ~ 2019-09-30
5,경상북도,청송군,중증장애인거주시설 성락원 이미용 봉사,성락원,2019-08-01 ~ 2019-10-31
6,경상북도,청송군,예천문지기봉사단,(사)한국자원봉사사회개발원안동지부,2019-07-01 ~ 2019-09-30
7,경상북도,청송군,어르신 이미용 서비스,효마실재가노인주야간보호전문센터,2019-07-01 ~ 2019-09-30
8,경상북도,청송군,구미카리스지역아동센터에서 초등학교 학습지도봉사자 구합니다.,카리스지역아동센터,2019-08-01 ~ 2019-10-01
9,경상북도,청송군,장애아동지역센터 프로그램 보조 및 교육진행,선린지역아동센터,2019-07-01 ~ 2019-10-01
0,경상북도,청송군,삼백시네마 관람객 안내 및 상영관 청결활동 모집,상주시종합자원봉사센터,2019-07-06 ~ 2019-10-06
1,경상북도,청송군,삼백시네마 관람객 안내 및 상영관 청결활동 모집,상주시종합자원봉사센터,2019-07-06 ~ 2019-10-06
2,경상북도,청송군,10월 5일 자원봉사 기초교육+지진대비 행동요령 교육 참여자 모집,경상북도 포항시,2019-10-05 ~ 2019-10-05
3,경상북도,청송군,동부동행정복지센터 기초수급자 병원 동행 해 주실 분,동부동 행정복지센터,2019-07-17 ~ 2019-10-16
4,경상북도,청송군,아동 차량수송 봉사자 모집,경상북도 구미시,2019-07-16 ~ 2019-10-16
5,경상북도,청송군,생활편의봉사활동 모집,구미천사요양병원,2019-07-18 ~ 2019-10-17
6,경상북도,청송군,경상북도 곤충생태전시관 안내 자원봉사자 모집,상주시종합자원봉사센터,2019-07-23 ~ 2019-10-20
7,경상북도,청송군,경상북도 곤충생태전시관 안내 자원봉사자 모집,상주시종합자원봉사센터,2019-07-23 ~ 2019-10-20
8,경상북도,청송군,도서관 일손돕기,하늘씨앗어린이도서관,2019-08-01 ~ 2019-10-31
9,경상북도,청송군,공연 재능 기부 해주실 봉사자 모집,효마실재가노인주야간보호전문센터,2019-07-20 ~ 2019-10-20
0,경상북도,청송군,요양원 실내외 청소및 어르신 말벗 되어 드리기,명심요양원,2019-07-24 ~ 2019-10-22
1,경상북도,청송군,학습 지도 및 프로그램 보조 활동 봉사자모집,파란지역아동센터,2019-07-23 ~ 2019-10-23
2,경상북도,청송군,경상북도장애인정보화협회,(사)경상북도장애인정보화협회,2019-08-07 ~ 2019-10-31
3,경상북도,청송군,발달장애인 동아리활동 지원,구미시중증장애인자립지원센터,2019-08-09 ~ 2019-10-25
4,경상북도,청송군,사적지 관람예절 계도 및 환경정비 8월~10월,경상북도 경주시,2019-08-03 ~ 2019-10-27
5,경상북도,청송군,사적지 관람예절 계도 및 환경정비 8월~10월,경상북도 경주시,2019-08-03 ~ 2019-10-27
6,경상북도,청송군,사적지 관람예절 계도 및 환경정비 8월~10월,경상북도 경주시,2019-08-03 ~ 2019-10-27
7,경상북도,청송군,사적지 관람예절 계도 및 환경정비 8월~10월,경상북도 경주시,2019-08-03 ~ 2019-10-27
8,경상북도,청송군,행정업무보조 자원봉사자 모집,한국법무보호복지공단경북지부,2019-07-28 ~ 2019-10-27
9,경상북도,청송군,무료급식소 나눔의 집 - 급식지원 자원봉사자 모집,상주시종합자원봉사센터,2019-08-01 ~ 2019-10-31
0,경상북도,청송군,무료급식소 밥상공동체 - 급식지원 자원봉사자 모집,상주시종합자원봉사센터,2019-08-22 ~ 2019-10-31
1,경상북도,청송군,정서재활프로그램 진행도우미 모집,좋은선린요양병원,2019-08-01 ~ 2019-10-31
2,경상북도,청송군,어르신 활동보조,아가다요양원,2019-08-01 ~ 2019-10-31
3,경상북도,청송군,어르신들을 위한 노래공연 및 간단한 레크레이션,포항재가복지센타,2019-08-01 ~ 2019-10-31
4,경상북도,청송군,과메기문화관 행사 보조,포항구룡포과메기문화관(포항시청 수산진흥과),2019-08-25 ~ 2019-10-31
5,경상북도,청송군,한길요양원 이미용 자원봉사자 모집,한길요양원,2019-08-01 ~ 2019-10-31
6,경상북도,청송군,다문화가정자녀 학습지도,울진군다문화지원센터,2019-08-01 ~ 2019-10-31
7,경상북도,청송군,다문화가정 반찬나눔,울진군다문화지원센터,2019-08-01 ~ 2019-10-31
8,경상북도,청송군,공동육아나눔터 재능기부,울진군다문화지원센터,2019-08-05 ~ 2019-10-31
9,경상북도,청송군,공동육아나눔터 공간환경정리,울진군다문화지원센터,2019-08-05 ~ 2019-10-31
0,경상북도,청송군,공연활동,효원재가노인복지센타,2019-08-01 ~ 2019-10-31
1,경상북도,청송군,밑반찬 조리 및 전달 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-10-31
2,경상북도,청송군,밑반찬 조리 및 전달 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-10-31
3,경상북도,청송군,지역아동센터 영어지도 자원봉사 하실분 모집합니다.,마중물지역아동센터,2019-09-01 ~ 2019-11-30
4,경상북도,청송군,어르신들에게 각종 봉사활동,사랑가득한집,2019-08-03 ~ 2019-11-02
5,경상북도,청송군,"안전돌봄 프로그램 하교, 귀가 도우미 모집",경상북도 구미시,2019-08-21 ~ 2019-11-21
6,경상북도,청송군,이미용봉사지원,길노인복지센터,2019-08-12 ~ 2019-11-12
7,경상북도,청송군,가비향카페 업무보조 자원봉사,포항시북부장애인종합복지관,2019-08-14 ~ 2019-11-13
8,경상북도,청송군,"어르신 식사수발, 활동보조, 환경미화 등",참조은요양병원,2019-08-18 ~ 2019-11-17
9,경상북도,청송군,농촌봉사활동 봉사자 모집,농업회사법인 포항노다지마을(주),2019-09-02 ~ 2019-11-29
0,경상북도,청송군,경북대학교자연사박물관 환경정화 및 안내도우미,경북대학교자연사박물관,2019-09-07 ~ 2019-11-30
1,경상북도,청송군,최무선과학관 관람안내 및 과학체험프로그램 행사 보조,영천최무선과학관,2019-09-01 ~ 2019-11-30
2,경상북도,청송군,"프로그램 활동보조, 청소, 어르신 생활편의 지원. 식사지원.",삼성어르신요양센터,2019-09-01 ~ 2019-11-30
3,경상북도,청송군,"어르신 활동 도움, 말벗, 운동보조, 청결지도",늘봄재가노인복지센터,2019-09-02 ~ 2019-12-02
4,경상북도,청송군,경로식당 급식지원,흥덕종합사회복지관,2019-10-01 ~ 2019-12-31
