,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
3,서울특별시 강동구,37.5496994,127.1462174, [강동구] 자녀돌봄품앗이 및 모두가족봉사단 업무 보조,강동구다문화가족지원센터,대한민국 서울특별시 강동구 명일동 327-6,2019-08-24 2019-08-24
4,서울특별시 강동구,37.5508311,127.1690836, [한국시각장애인복지관] 시각장애인 생활용구 제작 보조 및 포장 봉사활동(수작업 단순작업 ,한국시각장애인복지관,대한민국 서울특별시 강동구 상일동 126,2019-08-19 2019-08-28
5,서울특별시 강동구,37.5583163,127.1313992, <암사재활원>  월 장애아동 여름방학 프로그램 활동보조 봉사자 모집합니다,암사재활원,대한민국 서울특별시 강동구 암사동 196-1,2019-08-13 2019-08-23
6,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-13 2019-12-31
7,서울특별시 강동구,37.556011,127.146426, 성가정노인종합복지관 식권판매 봉사자 모집 ,성가정노인종합복지관,대한민국 서울특별시 강동구 고덕동 317-25,2019-08-21 2019-12-25
8,서울특별시 강동구,37.5454868,127.1325963, 아이비복지센터 발달장애인 여름캠프 자원봉사자를 모집합니다,아이비장애인단기보호시설,대한민국 서울특별시 강동구 천호2동 구천면로39길 12 201호,2019-09-04 2019-09-06
9,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-12 2019-12-31
10,서울특별시 강동구,37.530958,127.1281529, 강동구 동안우리주간보호센터 하원지도 보조,동안우리주간보호센터,대한민국 서울특별시 강동구 성내동 풍성로 146 4층,2019-08-09 2019-08-31
11,서울특별시 강동구,37.530958,127.1281529, 강동구 동안우리주간보호센터 프로그램보조,동안우리주간보호센터,대한민국 서울특별시 강동구 성내동 풍성로 146 4층,2019-08-09 2019-08-31
12,서울특별시 강동구,37.556011,127.146426, 성가정노인종합복지관 프로그램(인문학 교양과 문예창작) 강사 모집,성가정노인종합복지관,대한민국 서울특별시 강동구 고덕동 317-25,2019-08-09 2019-12-27
13,서울특별시 강동구,37.5497343,127.1462314, [강동구]  서울가족학교 패밀리셰프 자원봉사자 모집,강동구건강가정지원센터,대한민국 서울특별시 강동구 명일1동 327-6,2019-08-24 2019-08-24
14,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-06 2019-12-31
0,서울특별시 강동구,37.5522897,127.1542583, [시립강동 일정협의] (화)(화) 스마트폰 교육(도우미) 봉사,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-06 2019-12-17
1,서울특별시 강동구,37.5454868,127.1325963, 아이비복지센터 여름캠프(여행)자원봉사자를 모집합니다,아이비장애인단기보호시설,대한민국 서울특별시 강동구 천호2동 구천면로39길 12 201호,2019-09-04 2019-09-06
2,서울특별시 강동구,37.5522897,127.1542583, [시립강동] 월 건강증진 프로그램 진행보조,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-12 2019-10-31
3,서울특별시 강동구,37.556011,127.146426, [성가정노인종합복지관]조리 보조 봉사자 모집,성가정노인종합복지관,대한민국 서울특별시 강동구 고덕동 317-25,2019-08-05 2019-12-31
